"EIS.Facility.ID","Agency.Identifier","Program.System.Code","State","County","State.and.County.Code","Tribal.Name","Facility.Name","Company.Name","NAICS..Primary.","Facility.Source.Type","Operating.Status","Site.Latitiude","Site.Longitude","Physical.Address","City","State.1","Zip.Code","eis$EIS.Facility.ID","KEEP"
5683411,"19102691710","CARB","CA","Los Angeles",6037,NA,"Marble Makers Inc","Na",325991,"","OP",34.12998,-117.951,"2310 E Central Av","Irwindale","CA","91010",5683411,"INCLUDE"
10063311,"3914303791","CARB","CA","San Joaquin",6077,NA,"MARBLE PALACE INC","MARBLE PALACE INC",325199,"","OP",37.946099,-121.285454,"711 S SAN JOAQUIN ST","STOCKTON","CA","95203",10063311,"INCLUDE"
10386111,"713036288","CARB","CA","Contra Costa",6013,NA,"MARBLE SHOP, INC","MARBLE SHOP, INC",327991,"","OP",38.01354,-121.88605,"180 BLISS AVENUE","PITTSBURG","CA","94565",10386111,"INCLUDE"
928511,"4160451","CARB","CA","Butte",6007,NA,"MARBLECRAFT PRODUCTS","MARBLECRAFT PRODUCTS",326191,"Gasoline/Diesel Service Station","ONRE",39.853,-121.798,"6369 COHASSET RD","CHICO","CA","95973",928511,"INCLUDE"
14049411,"1130317002","CARB","CA","Alameda",6001,NA,"MARBLEMAN ENTERPRISES","MARBLEMAN ENTERPRISES",327991,"","OP",37.68747,-122.11417,"16840 ALISAL COURT","SAN LORENZO","CA","94580",14049411,"INCLUDE"
336211,"113034388","CARB","CA","Alameda",6001,NA,"Marbleman Enterprises Inc","Na",327991,"","OP",37.68735,-122.11416,"16840 Alisal Court","San Lorenzo","CA","94580",336211,"INCLUDE"
2337511,"","","CA","Orange",6059,NA,"Marchem Pacific Inc","Na",325520,"","OP",33.81666,-117.84999,"214 W.Taft Ave","Orange","CA","92865",2337511,"INCLUDE"
10176211,"301026000000","CARB","CA","Orange",6059,NA,"Marchem Pacific. Inc.","",325991,"","OP",33.81602,-117.85425,"212 W Taft Ave","Orange","CA","92865",10176211,"INCLUDE"
13476111,"191026000000","CARB","CA","Los Angeles",6037,NA,"MARCHEM TECHNOLOGIES","MARCHEM TECHNOLOGIES",325613,"","OP",33.842937,-118.212855,"20851 S SANTA FE AVE","LONG BEACH","CA","90810",13476111,"INCLUDE"
779111,"30102613309","CARB","CA","Orange",6059,NA,"Marco Foam Products  Inc","Na",326150,"","ONRE",33.73692,-117.82887,"1411 South Village Way","Santa Ana","CA","92705",779111,"INCLUDE"
2119911,"19102668956","CARB","CA","Los Angeles",6037,NA,"Marina Graphic Center Inc","Na",323111,"","OP",33.97993,-118.44112,"4049 Lincoln Blvd","Marina Del Rey","CA","90291",2119911,"INCLUDE"
10271711,"191026000000","CARB","CA","Los Angeles",6037,NA,"MARINA GRAPHIC CENTER, INC.","MARINA GRAPHIC CENTER, INC.",323111,"","OP",33.915396,-118.332521,"12901  CERISE AVE","HAWTHORNE","CA","90250",10271711,"INCLUDE"
1242011,"4113039891","CARB","CA","San Mateo",6081,NA,"Marine Systems","Na",321918,"","OP",37.48508,-122.18669,"3611 Haven Avenue","Menlo Park","CA","94025",1242011,"INCLUDE"
1542911,"4313032602","CARB","CA","Santa Clara",6085,NA,"MARKETSHARE, INC","MARKETSHARE, INC",323113,"","OP",37.40337,-121.89019,"2001 TAROB COURT","MILPITAS","CA","95035",1542911,"INCLUDE"
3420011,"33102680088","CARB","CA","Riverside",6065,NA,"Marko Foam Products Inc","Na",326150,"","OP",33.882,-117.5539,"725 Harrison St","Corona","CA","91719",3420011,"INCLUDE"
479911,"113039005","CARB","CA","Alameda",6001,NA,"Marko Foam Products Inc","Na",326150,"","OP",37.65049,-122.14119,"2852 W Winton Ave","Hayward","CA","94545",479911,"INCLUDE"
2234511,"19102662580","CARB","CA","Los Angeles",6037,NA,"MARRS PRINTING","Na",323111,"","OP",33.99925,-117.8603,"860  TUCKER LN","CITY OF INDUSTRY","CA","91789",2234511,"INCLUDE"
6531011,"7130324726","CARB","CA","Contra Costa",6013,NA,"MARTINEZ REFINING COMPANY LLC","MARTINEZ REFINING COMPANY LLC",324110,"Petroleum Refinery","OP",38.016594,-122.115392,"3485 PACHECO BLVD","MARTINEZ","CA","94553",6531011,"INCLUDE"
2354011,"33102650092","CARB","CA","Riverside",6065,NA,"MARUHACHI CERAMICS OF AMERICA INC","MARUHACHI CERAMICS OF AMERICA INC",327120,"Brick, Structural Clay, or Clay Ceramics Plant","OP",33.881089,-117.525128,"1985 SAMPSON AVE","CORONA","CA","92879",2354011,"INCLUDE"
21010711,"4011313113","CARB","CA","San Luis Obispo",6079,NA,"MARY'S TECH CA","MARY'S TECH CA",325411,"","OP",35.111983,-120.624263,"927 S. 4TH ST","GROVER BEACH","CA","93433",21010711,"INCLUDE"
3553511,"5816084","CARB","CA","Yuba",6115,NA,"Marysville Forest Products","Na",321999,"","OP",39.05104,-121.51147,"4083 Rancho Road","Marysville","CA","95901",3553511,"INCLUDE"
5784911,"1910262367","CARB","CA","Los Angeles",6037,NA,"Mask-Off Co Inc","Na",326112,"","OP",34.13972,-118.00622,"339-47 W Maple Av","Monrovia","CA","91016",5784911,"INCLUDE"
