OBJECTID,HUC12,Name,AqHabRank,AqHabSWNorm,AqHabTot,AnadHab,Riparian,Lakes,FreshWetld,MeadowFEW,Ponds,SeepSpring,VernalPool,SaltWetld,Shape_Length,Shape_Area
2337,1.80E+11,Upper Rancheria Creek,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,60109.15749,96658297.75
2338,1.80E+11,Soda Spring Creek-Dry Creek,1,0.2,1,N,Y,N,N,N,N,N,N,N,57711.44362,94070720.31
2339,1.80E+11,Baechtel Creek,3,0.6,3,Y,Y,N,Y,Y,Y,N,N,N,41459.47057,59563458.34
2340,1.80E+11,Orrs Creek-Russian River,4,0.8,4,Y,Y,Y,Y,N,Y,N,N,N,80073.51196,103157740.9
2341,1.80E+11,Sherwood Creek-Outlet Creek,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,43723.03691,72096822.19
2342,1.80E+11,Eden Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,43569.25237,71350350.05
2343,1.80E+11,Middle North Fork Eel River,1,0.2,1,N,N,N,Y,Y,Y,N,N,N,54759.42951,97639579.09
2344,1.80E+11,Alder Creek-Mill Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,55295.88876,85912347.91
2345,1.80E+11,Headwaters North Fork Eel River,1,0.2,1,N,Y,N,N,N,N,N,N,N,47847.15703,92880493.27
2346,1.80E+11,Red Mountain Creek,0,0,0,N,N,N,N,N,N,N,N,N,32817.65913,49688059.14
2347,1.80E+11,Smoky Creek-South Fork Trinity River,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,55239.66641,109435375.2
2348,1.80E+11,Corral Creek,1,0.2,1,N,Y,N,N,N,N,N,N,N,50099.18697,93781451.53
2349,1.80E+11,Rattlesnake Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,55648.7752,121113067
2350,1.80E+11,Don Juan Creek-Trinity River,1,0.2,1,N,Y,N,N,N,N,N,N,N,42408.40653,86471232.54
2351,1.80E+11,Quinby Creek-New River,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,50425.10018,86616025.77
2352,1.80E+11,Devils Canyon,1,0.2,1,N,Y,N,N,N,N,N,N,N,39278.55176,71478887.63
2353,1.80E+11,East Fork New River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,48809.64396,106726651.4
2354,1.80E+11,Lower North Fork Trinity River,1,0.2,1,N,Y,N,N,N,N,N,N,N,51117.77533,84033115
2355,1.80E+11,Nordheimer Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,43355.7972,80319791.32
2356,1.80E+11,Slide Creek,2,0.4,2,N,Y,N,Y,N,Y,N,N,N,46361.05298,105303084.3
2357,1.80E+11,Olsen Creek-North Fork Salmon River,3,0.6,3,N,Y,Y,Y,N,Y,N,N,N,40392.75942,65136779.54
2358,1.80E+11,Titus Creek-Klamath River,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,53965.00246,78407367.8
2359,1.80E+11,Upper Elk Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,42544.34317,83049904.57
2360,1.80E+11,Kelsey Creek,3,0.6,3,N,Y,Y,Y,N,Y,N,N,N,29492.57068,46072507.22
2361,1.80E+11,Canyon Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,35302.62701,64079870.18
2362,1.80E+11,Lower Elk Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,70550.27378,121481724.8
2363,1.80E+11,Porter Creek-Russian River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,61367.02793,78513574.25
2364,1.80E+11,South Fork Scotts Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,39779.68487,44618037.96
2365,1.80E+11,Adobe Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,60557.79943,68709952.95
2366,1.80E+11,Pieta Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,65358.68076,98305196.13
2367,1.80E+11,Little Sulphur Creek,3,0.6,3,Y,Y,N,Y,N,Y,N,N,N,51982.68831,82389310.83
2368,1.80E+11,Soda Creek-Eel River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,53126.54803,108585890.2
2369,1.80E+11,Rice Creek-Rice Fork,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,55569.25233,108575400.9
2370,1.80E+11,French Creek-Rice Fork,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,48466.86103,71433287.27
2371,1.80E+11,Bear Creek-Elk Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,51930.09675,112762026.5
2372,1.80E+11,Trout Creek-Eel River,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,44034.16646,72256931.01
2373,1.80E+11,Cold Creek-Eel River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,61864.55788,146735776.5
2374,1.80E+11,Silver Creek-Middle Fork Eel River,2,0.4,2,Y,N,N,Y,N,Y,N,N,N,46185.8109,73098916.19
2375,1.80E+11,Auger Creek-Thomes Creek,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,33562.77928,53390962.82
2376,1.80E+11,East Fork South Fork Trinity River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,50134.28905,99566010.36
2377,1.80E+11,Cutfinger Creek-Middle Fork Eel River,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,43757.37832,88509911.21
2378,1.80E+11,Wells Creek,1,0.2,1,N,N,N,Y,Y,N,N,N,N,60990.83101,74142571.54
2379,1.80E+11,Upper Browns Creek,1,0.2,1,N,Y,N,N,N,N,N,N,N,52298.71651,103537347.6
2380,1.80E+11,Yellow Dog Creek-North Fork Salmon River,2,0.4,2,N,Y,Y,N,N,N,N,N,N,37773.17871,65328726.18
2381,1.80E+11,Kidder Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,70552.05433,90030617.03
2382,1.80E+11,Clark Creek-Scott River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,37687.29035,41596420.02
2383,1.80E+11,Kohl Creek-Klamath River,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,46191.22303,71989497.78
2384,1.81E+11,Olema Creek-Lagunitas Creek,5,1,5,Y,Y,Y,Y,Y,Y,N,N,Y,60300.15513,69964084.55
2385,1.81E+11,Bolinas Bay,2,0.4,2,N,N,N,Y,Y,N,N,N,Y,14225.87426,1469602.834
2386,1.81E+11,Nicasio Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,54116.54284,95420793.52
2387,1.81E+11,Redwood Creek-Frontal Pacific Ocean,5,1,5,Y,Y,Y,Y,Y,Y,N,N,Y,53436.72462,51620576.72
2388,1.81E+11,Arroyo Sausal,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,44898.67747,63770511.94
2389,1.81E+11,San Antonio Creek,3,0.6,3,Y,Y,N,Y,Y,Y,N,Y,N,49356.97182,80388953.8
2390,1.80E+11,Upper Laguna De Santa Rosa,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,75186.95781,160711302.8
2391,1.81E+11,Burdell Mountain-Frontal San Pablo Bay Estuaries,5,1,5,Y,Y,Y,Y,Y,N,N,N,Y,90721.42675,49019011.31
2392,1.80E+11,Windsor Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,44919.30282,69263235.66
2393,1.80E+11,Lower Santa Rosa Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,36163.34802,55941655.55
2394,1.80E+11,Hog Hollow Creek-North Fork Cache Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,45217.85361,50511035.95
2395,1.80E+11,Crazy Creek-Putah Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,78715.24843,102493826.3
2396,1.80E+11,South Fork Stony Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,44830.87807,103415498.7
2397,1.80E+11,Mill Creek,1,0.2,1,N,N,N,Y,Y,N,N,N,N,30374.11057,50945747.19
2398,1.80E+11,Lower Dry Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,60760.83081,71686081.97
2399,1.80E+11,Upper Reeds Creek,3,0.6,3,N,Y,Y,Y,N,N,N,Y,N,61663.12656,105037074.7
2400,1.80E+11,Upper North Fork Cottonwood Creek,2,0.4,2,N,Y,Y,N,N,N,N,N,N,56417.72775,128873750
2401,1.80E+11,Buckeye Creek-Trinity River,3,0.6,3,N,Y,Y,Y,Y,N,Y,N,N,45672.53769,64917116.58
2402,1.80E+11,Bear Creek-Trinity River,3,0.6,3,N,Y,Y,Y,Y,Y,Y,N,N,47587.36703,89847426.58
2403,1.80E+11,McConaughy Gulch,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,32615.54305,53963959.73
2404,1.80E+11,Empire Creek-Klamath River,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,45296.81158,84918126.26
2405,1.81E+11,Butano Creek,5,1,5,Y,Y,Y,Y,Y,Y,N,N,Y,48090.18834,55378472.43
2406,1.81E+11,Lobos Creek-Frontal San Francisco Bay Estuaries,4,0.8,4,N,Y,Y,Y,Y,N,N,N,Y,40819.47949,25323364.27
